PLAYER_ID,TEAM_ID,AGE,MIN,GP,MPG,REB,PTS,PLAYER_NAME,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,POSITION,PPG,RPG,TEAM_ABBREVIATION,DIVISION,CONFERENCE
202738,1610612738,28,2569.325,76,33.80690789,205,2199,Isaiah Thomas,9-May,69,G,28.9,2.7,BOS,ATL,E
1627770,1610612739,22,385.7,42,9.183333333,41,166,Kay Felder,9-May,69,G,4,1,CLE,CNT,E
203510,1610612742,25,84.40166667,8,10.55020833,9,35,Pierre Jackson,10-May,70,N,4.4,1.1,DAL,SW,W
1627755,1610612756,21,1122.813333,61,18.40677595,95,444,Tyler Ulis,10-May,70,G,7.3,1.6,PHX,PAC,W
101249,1610612750,34,10.68,5,2.136,0,2,John Lucas III,11-May,71,N,0.4,0,MIN,NW,W
201951,1610612758,29,1731.973333,69,25.1010628,179,681,Ty Lawson,11-May,71,G,9.9,2.6,SAC,PAC,W
203477,1610612741,26,592.1066667,39,15.18222222,50,181,Isaiah Canaan,Jun-00,72,N,4.6,1.3,CHI,CNT,E
200826,1610612742,33,770.7916667,35,22.02261905,84,381,J.J. Barea,Jun-00,72,G,10.9,2.4,DAL,SW,W
1627812,1610612742,24,1197.078333,46,26.02344202,111,462,Yogi Ferrell,Jun-00,72,G,10,2.4,DAL,SW,W
2749,1610612743,35,2045.046667,75,27.26728889,192,687,Jameer Nelson,Jun-00,72,G,9.2,2.6,DEN,NW,W
202397,1610612765,28,1955.215,81,24.13845679,235,758,Ish Smith,Jun-00,72,G,9.4,2.9,DET,CNT,E
201166,1610612754,32,893.715,65,13.74946154,69,322,Aaron Brooks,Jun-00,72,G,5,1.1,IND,CNT,E
101108,1610612746,32,1920.84,61,31.48918033,304,1104,Chris Paul,Jun-00,72,G,18.1,5,LAC,PAC,W
201571,1610612753,29,1538.238333,78,19.72100427,117,616,D.J. Augustin,Jun-00,72,G,7.9,1.5,ORL,SE,E
201954,1610612758,29,2063.37,68,30.34367647,152,900,Darren Collison,Jun-00,72,G,13.2,2.2,SAC,PAC,W
201988,1610612759,28,1754.246667,80,21.92808334,141,759,Patty Mills,Jun-00,72,G,9.5,1.8,SAS,SW,W
1627832,1610612761,23,293.81,37,7.940810811,42,107,Fred VanVleet,Jun-00,72,G,2.9,1.1,TOR,ATL,E
200768,1610612761,31,2244.025,60,37.40041667,286,1344,Kyle Lowry,Jun-00,72,G,22.4,4.8,TOR,ATL,E
203471,1610612737,23,2484.573333,79,31.45029535,248,1414,Dennis Schroder,1-Jun,73,G,17.9,3.1,ATL,SE,E
1627743,1610612738,22,17.01333333,5,3.402666666,4,10,Demetrius Jackson,1-Jun,73,G,2,0.8,BOS,ATL,E
203148,1610612766,31,416.0383333,41,10.14727642,39,142,Brian Roberts,1-Jun,73,G,3.5,1,CHA,SE,E
202689,1610612766,27,2739.308333,79,34.67478903,308,1830,Kemba Walker,1-Jun,73,G,23.2,3.9,CHA,SE,E
200765,1610612741,31,1842.72,69,26.70608696,355,538,Rajon Rondo,1-Jun,73,G,7.8,5.1,CHI,CNT,E
101150,1610612745,30,1993.396667,81,24.6098354,202,1421,Lou Williams,1-Jun,73,G,17.5,2.5,HOU,SW,W
201976,1610612745,28,2057.986667,67,30.71621891,393,639,Patrick Beverley,1-Jun,73,G,9.5,5.9,HOU,SW,W
101109,1610612746,33,1699.635,80,21.2454375,218,538,Raymond Felton,1-Jun,73,G,6.7,2.7,LAC,PAC,W
201144,1610612763,29,2291.88,69,33.21565217,241,1415,Mike Conley,1-Jun,73,G,20.5,3.5,MEM,SW,W
204025,1610612740,26,1524.57,65,23.45492308,173,464,Tim Frazier,1-Jun,73,G,7.1,2.7,NOP,SW,W
202339,1610612756,27,2176.165,66,32.97219697,320,1390,Eric Bledsoe,1-Jun,73,G,21.1,4.8,PHX,PAC,W
203894,1610612757,25,512.0466667,53,9.661257862,61,218,Shabazz Napier,1-Jun,73,G,4.1,1.2,POR,NW,W
203526,1610612762,25,345.885,40,8.647125,30,100,Raul Neto,1-Jun,73,G,2.5,0.8,UTA,NW,W
201943,1610612764,27,1801.463333,81,22.24028806,196,577,Brandon Jennings,1-Jun,73,G,7.1,2.4,WAS,SE,E
203504,1610612764,24,702.79,57,12.32964912,47,285,Trey Burke,1-Jun,73,G,5,0.8,WAS,SE,E
202340,1610612738,26,1834.606667,55,33.35648485,334,894,Avery Bradley,2-Jun,74,G,16.3,6.1,BOS,ATL,E
1626179,1610612738,23,1263.238333,74,17.07078828,227,410,Terry Rozier,2-Jun,74,G,5.5,3.1,BOS,ATL,E
